(198018,201472),2023_1_74_protocol.txt,protocol,Vizepräsident,in Petra Pau
(201472,204785),2023_1_75_protocol.txt,protocol,Vizepräsident,in Petra Pau
(204785,205357),2023_1_76_protocol.txt,protocol,Vizepräsident,in Petra Pau
(205357,209633),2023_1_77_members.txt,members,AfD,Markus 
(209633,209922),2023_1_78_protocol.txt,protocol,Vizepräsident,in Petra Pau
(209922,214654),2023_1_79_members.txt,members,FDP,Nils 
(214654,214774),2023_1_80_protocol.txt,protocol,Vizepräsident,in Petra Pau
(214774,218216),2023_1_81_members.txt,members,DIE LINKE,Zaklin 
(218216,230401),2023_1_82_protocol.txt,protocol,Vizepräsident,in Petra Pau
(230401,235451),2023_1_83_members.txt,members,SPD,Josip 
(235451,237163),2023_1_84_protocol.txt,protocol,Vizepräsident,in Petra Pau
(237163,237401),2023_1_85_protocol.txt,protocol,Vizepräsident,in Petra Pau
(237401,241481),2023_1_86_members.txt,members,AfD,Petr 
(241481,241551),2023_1_87_protocol.txt,protocol,Vizepräsident,in Petra Pau
(241551,243655),2023_1_88_members.txt,members,fraktionslos,Robert 
(243655,243732),2023_1_89_protocol.txt,protocol,Vizepräsident,in Petra Pau
(243732,243951),2023_1_90_members.txt,members,fraktionslos,Robert 
(243951,244008),2023_1_91_protocol.txt,protocol,Vizepräsident,in Petra Pau
(244008,244411),2023_1_92_members.txt,members,fraktionslos,Robert 
(244411,247707),2023_1_93_protocol.txt,protocol,Vizepräsident,in Petra Pau
(247707,248727),2023_1_94_protocol.txt,protocol,Vizepräsident,in Petra Pau
(248727,253022),2023_1_95_members.txt,members,AfD,Tino 
(253022,253185),2023_1_96_protocol.txt,protocol,Vizepräsident,in Petra Pau
(253185,258751),2023_1_97_members.txt,members,SPD,Katrin 
(258751,258839),2023_1_98_protocol.txt,protocol,Vizepräsident,in Petra Pau
(258839,259238),2023_1_99_members.txt,members,SPD,Katrin 
(259238,264517),2023_1_100_protocol.txt,protocol,Vizepräsident,in Petra Pau
(264517,270408),2023_1_101_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(270408,270528),2023_1_102_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(270528,276073),2023_1_103_members.txt,members,DIE LINKE,Nicole 
(276073,276229),2023_1_104_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(276229,281494),2023_1_105_members.txt,members,FDP,Friedhelm 
(281494,281555),2023_1_106_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(281555,281896),2023_1_107_members.txt,members,FDP,Friedhelm 
(281896,281998),2023_1_108_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(281998,285296),2023_1_109_members.txt,members,AfD,Nicole 
(285296,285357),2023_1_110_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(285357,285676),2023_1_111_members.txt,members,AfD,Nicole 
(285676,285856),2023_1_112_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(285856,291038),2023_1_113_members.txt,members,SPD,Wiebke 
(291038,291099),2023_1_114_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(291099,291673),2023_1_115_members.txt,members,SPD,Wiebke 
(291673,296884),2023_1_116_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(296884,303685),2023_1_117_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(303685,303826),2023_1_118_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(303826,309242),2023_1_119_members.txt,members,FDP,Ria 
(309242,313373),2023_1_120_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(313373,313536),2023_1_121_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(313536,318365),2023_1_122_members.txt,members,SPD,Holger 
(318365,323166),2023_1_123_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(323166,323345),2023_1_124_protocol.txt,protocol,Vizepräsident,in Yvonne Magwas
(323345,328042),2023_1_125_members.txt,members,SPD,Hannes 
